feature,label,true_x,true_y
[-0.7510232  -0.84063107 -0.84721583  0.3225695   0.9166667   0.16666667],0,13.653,13.407
[-0.75453174 -0.84016067 -0.84318376  0.2872098   0.9166667   0.16666667],0,13.653,13.407
[-0.7781479  -0.8714017  -0.87847394  0.31931543  0.9166667   0.16666667],0,13.653,13.407
[-0.7613616  -0.85038096 -0.8563735   0.3029015   0.9166667   0.16666667],0,13.653,13.407
[-0.7330671  -0.82321006 -0.8361888   0.30280203  0.9166667   0.16666667],0,13.653,13.407
[-0.75746226 -0.82537776 -0.8313819   0.32042283  0.9166667   0.16666667],0,13.653,13.407
[-0.75274575 -0.81043404 -0.8149064   0.34992498  0.9166667   0.16666667],0,13.653,13.407
[-0.7686662  -0.8838764  -0.8812809   0.2809118   0.9166667   0.16666667],0,13.653,13.407
[-0.79139894 -0.86723346 -0.89617914  0.2970336   0.9166667   0.16666667],0,13.653,13.407
[ 0.2549001  -1.         -0.7979378  -0.22645338  0.9166667   0.16666667],0,13.653,13.407
[-0.7676274  -0.8263913  -0.83123815  0.31650147  0.9166667   0.16666667],0,13.653,13.407
[-0.76365125 -0.8475011  -0.84786195  0.31733218  0.9166667   0.16666667],0,13.653,13.407
[-0.74876636 -0.8714678  -0.85954124  0.26145014  0.9166667   0.16666667],0,13.653,13.407
[-0.7966376  -0.87486565 -0.8653538   0.24203506  0.9166667   0.16666667],0,13.653,13.407
[-0.7741298  -0.8769312  -0.89081115  0.3008389   0.9166667   0.16666667],0,13.653,13.407
[-0.77633506 -0.8183994  -0.8589927   0.27955052  0.9166667   0.16666667],0,13.653,13.407
[-0.746621   -0.8292389  -0.8532238   0.28719068  0.9166667   0.16666667],0,13.653,13.407
[-0.76691    -0.833687   -0.82463187  0.31017968  0.9166667   0.16666667],0,13.653,13.407
[-0.7061266  -0.8488985  -0.8414667   0.2727485   0.9166667   0.16666667],0,13.653,13.407
[-0.7686372  -0.85815394 -0.8265669   0.23209433  0.9166667   0.16666667],0,13.653,13.407
[-0.7694151  -0.83182776 -0.8391025   0.3049984   0.9166667   0.16666667],0,13.653,13.407
[-0.7511344  -0.86733466 -0.8743254   0.25589544  0.9166667   0.16666667],0,13.653,13.407
[-0.7468238  -0.82817686 -0.83891445  0.34756106  0.9166667   0.16666667],0,13.653,13.407
[-0.764084   -0.8383792  -0.8548927   0.29895502  0.9166667   0.16666667],0,13.653,13.407
[-0.7620191  -0.85025686 -0.8841858   0.2740613   0.9166667   0.16666667],0,13.653,13.407
[-0.77662545 -0.83190787 -0.86388755  0.32069153  0.9166667   0.16666667],0,13.653,13.407
[ 1.         -1.          0.36958176 -1.          0.9166667   0.16666667],0,13.653,13.407
[-0.7422259  -0.8644917  -0.8802851   0.25013036  0.9166667   0.16666667],0,13.653,13.407
[-0.75986326 -0.8332449  -0.8489017   0.33395576  0.9166667   0.16666667],0,13.653,13.407
[-0.76889664 -0.8572623  -0.87814516  0.31617817  0.9166667   0.16666667],0,13.653,13.407
[-0.7183735  -0.8189406  -0.81450963  0.30890056  0.9166667   0.16666667],0,13.653,13.407
[-0.77720386 -0.84224707 -0.84793675  0.32004237  0.9166667   0.16666667],0,13.653,13.407
[-0.7644492  -0.85423607 -0.8437221   0.31012157  0.9166667   0.16666667],0,13.653,13.407
[-0.7623856  -0.8660239  -0.84171253  0.2525273   0.9166667   0.16666667],0,13.653,13.407
[-0.75631404 -0.83497196 -0.849186    0.3493801   0.9166667   0.16666667],0,13.653,13.407
[-0.78980386 -0.86058795 -0.8411705   0.2933589   0.9166667   0.16666667],0,13.653,13.407
[-0.7288958  -0.84438884 -0.8432621   0.29032433  0.9166667   0.16666667],0,13.653,13.407
[-0.7766248  -0.8509768  -0.86550593  0.34355938  0.9166667   0.16666667],0,13.653,13.407
[-0.7687299  -0.8272547  -0.8565279   0.32128087  0.9166667   0.16666667],0,13.653,13.407
[-0.7346847  -0.84479475 -0.842003    0.26578927  0.9166667   0.16666667],0,13.653,13.407
[-0.7275611  -0.84011114 -0.8331064   0.26975846  0.9166667   0.16666667],0,13.653,13.407
[-0.7317459  -0.8365615  -0.8627113   0.28892305  0.9166667   0.16666667],0,13.653,13.407
[-0.7706597  -0.8587528  -0.85947114  0.31740165  0.9166667   0.16666667],0,13.653,13.407
[-0.772545   -0.8519623  -0.88395405  0.2843773   0.9166667   0.16666667],0,13.653,13.407
[-0.77885216 -0.8652773  -0.8534492   0.3158505   0.9166667   0.16666667],0,13.653,13.407
[-0.7656794  -0.8667339  -0.86561847  0.29193932  0.9166667   0.16666667],0,13.653,13.407
[-0.7795743  -0.8534614  -0.8596968   0.26203984  0.9166667   0.16666667],0,13.653,13.407
[-0.7208433  -0.85346305 -0.8731446   0.24982767  0.9166667   0.16666667],0,13.653,13.407
[-0.77829725 -0.85281885 -0.86084867  0.30196214  0.9166667   0.16666667],0,13.653,13.407
[-0.75873846 -0.8463955  -0.87336445  0.2865609   0.9166667   0.16666667],0,13.653,13.407
[-0.76749223 -0.8470551  -0.83206856  0.34392473  0.9166667   0.16666667],0,13.653,13.407
[-0.7623904  -0.83466625 -0.8427666   0.30795395  0.9166667   0.16666667],0,13.653,13.407
[-0.74925935 -0.8588488  -0.8622936   0.2853296   0.9166667   0.16666667],0,13.653,13.407
[-0.7966454  -0.8511202  -0.8615633   0.29869524  0.9166667   0.16666667],0,13.653,13.407
[-0.79208744 -0.883149   -0.85008645  0.25111267  0.9166667   0.16666667],0,13.653,13.407
[-0.76997524 -0.85924673 -0.8515047   0.32975647  0.9166667   0.16666667],0,13.653,13.407
[-0.7784872  -0.8606407  -0.8545911   0.33657205  0.9166667   0.16666667],0,13.653,13.407
[-0.7912809  -0.851904   -0.84634733  0.29624027  0.9166667   0.16666667],0,13.653,13.407
[-0.75038576 -0.82877535 -0.85634154  0.27335158  0.9166667   0.16666667],0,13.653,13.407
[-0.76683384 -0.8364648  -0.84619206  0.32774648  0.9166667   0.16666667],0,13.653,13.407
[-0.7488815  -0.8702373  -0.8818753   0.24245358  0.9166667   0.16666667],0,13.653,13.407
[-0.7503976  -0.8435197  -0.84690344  0.32711864  0.9166667   0.16666667],0,13.653,13.407
[-0.7670054  -0.83244747 -0.83441657  0.3378799   0.9166667   0.16666667],0,13.653,13.407
[-0.78226745 -0.88380444 -0.84501505  0.3313694   0.9166667   0.16666667],0,13.653,13.407
[-0.7678124  -0.8634498  -0.8682944   0.2802583   0.9166667   0.16666667],0,13.653,13.407
[-0.7599665  -0.84527254 -0.83097476  0.32638025  0.9166667   0.16666667],0,13.653,13.407
[-0.7602648  -0.8346001  -0.8520976   0.30092987  0.9166667   0.16666667],0,13.653,13.407
[-0.77516145 -0.8476402  -0.8751347   0.25065768  0.9166667   0.16666667],0,13.653,13.407
[-0.72556335 -0.8385583  -0.8211401   0.35152733  0.9166667   0.16666667],0,13.653,13.407
[ 1.         -0.05036829  1.          0.69542277  0.9166667   0.16666667],0,13.653,13.407
[-0.7538013  -0.8572005  -0.85608566  0.29472712  0.9166667   0.16666667],0,13.653,13.407
[-0.78804886 -0.8521761  -0.8475993   0.32395634  0.9166667   0.16666667],0,13.653,13.407
[-0.77178293 -0.84804827 -0.85941887  0.27295208  0.9166667   0.16666667],0,13.653,13.407
[-0.75363684 -0.83468693 -0.8423888   0.31291845  0.9166667   0.16666667],0,13.653,13.407
[-0.7985598  -0.8691022  -0.88246566  0.22046044  0.9166667   0.16666667],0,13.653,13.407
[-0.7501124  -0.85622567 -0.8560514   0.2973004   0.9166667   0.16666667],0,13.653,13.407
[-0.78699094 -0.8542974  -0.8843326   0.28485665  0.9166667   0.16666667],0,13.653,13.407
[-0.7750271  -0.8678417  -0.84772754  0.27768645  0.9166667   0.16666667],0,13.653,13.407
[-0.7609025  -0.86128175 -0.84948725  0.3187626   0.9166667   0.16666667],0,13.653,13.407
[-0.7909411  -0.8542478  -0.8458718   0.30033296  0.9166667   0.16666667],0,13.653,13.407
[-0.78097963 -0.87395865 -0.8962403   0.30172354  0.9166667   0.16666667],0,13.653,13.407
[-0.75191104 -0.8515993  -0.8557918   0.29305005  0.9166667   0.16666667],0,13.653,13.407
[-0.7763251  -0.8695218  -0.8822802   0.28483024  0.9166667   0.16666667],0,13.653,13.407
[-0.7335011  -0.8750351  -0.83132195  0.22681215  0.9166667   0.16666667],0,13.653,13.407
[-0.77197206 -0.8509993  -0.8550187   0.30713817  0.9166667   0.16666667],0,13.653,13.407
[-0.7514028  -0.82630557 -0.830137    0.36857954  0.9166667   0.16666667],0,13.653,13.407
[-0.7840225  -0.8559253  -0.8647339   0.30132526  0.9166667   0.16666667],0,13.653,13.407
[-0.77523685 -0.85476434 -0.841496    0.34778795  0.9166667   0.16666667],0,13.653,13.407
[-0.77535754 -0.8209277  -0.8472869   0.34115425  0.9166667   0.16666667],0,13.653,13.407
[-0.7917186  -0.87148136 -0.8659409   0.2805416   0.9166667   0.16666667],0,13.653,13.407
[-0.7607466  -0.8484683  -0.8514329   0.27938628  0.9166667   0.16666667],0,13.653,13.407
[-0.75910914 -0.85182637 -0.8502551   0.2963776   0.9166667   0.16666667],0,13.653,13.407
[-0.79399854 -0.86733884 -0.8581284   0.2601439   0.9166667   0.16666667],0,13.653,13.407
[-0.79048693 -0.8578552  -0.86122125  0.2382317   0.9166667   0.16666667],0,13.653,13.407
[-0.78625363 -0.8658584  -0.88856095  0.26746184  0.9166667   0.16666667],0,13.653,13.407
[-0.7677257  -0.8423769  -0.84722584  0.28783232  0.9166667   0.16666667],0,13.653,13.407
[-0.7524421  -0.8119442  -0.8353818   0.29942685  0.9166667   0.16666667],0,13.653,13.407
[-0.75981003 -0.8454215  -0.8416165   0.32199255  0.9166667   0.16666667],0,13.653,13.407
[-0.7827916  -0.8936058  -0.8928922   0.24430573  0.9166667   0.16666667],0,13.653,13.407
[-0.74266464 -0.81341136 -0.82285666  0.2955623   0.9166667   0.16666667],0,13.653,13.407
[-0.7648248  -0.83803505 -0.82892466  0.3759407   0.9166667   0.16666667],0,13.653,13.407
[-0.75735706 -0.85254484 -0.8587574   0.30192617  0.9166667   0.16666667],0,13.653,13.407
[-0.77410007 -0.83810884 -0.8487729   0.31154916  0.9166667   0.16666667],0,13.653,13.407
[-0.75066024 -0.8411554  -0.84323114  0.30805352  0.9166667   0.16666667],0,13.653,13.407
[-0.7937684  -0.8484902  -0.84377694  0.3294011   0.9166667   0.16666667],0,13.653,13.407
[1.         1.         1.         1.         0.9166667  0.16666667],0,13.653,13.407
[-0.7734309  -0.8644999  -0.8644759   0.27340645  0.9166667   0.16666667],0,13.653,13.407
[ 1.         -0.80338883 -0.0789658  -1.          0.9166667   0.16666667],0,13.653,13.407
[-0.7819564  -0.8660326  -0.87740797  0.26525277  0.9166667   0.16666667],0,13.653,13.407
[-0.7945905  -0.86332434 -0.86385936  0.28230524  0.9166667   0.16666667],0,13.653,13.407
[-0.78032756 -0.85611194 -0.87038046  0.2508477   0.9166667   0.16666667],0,13.653,13.407
[-0.77976936 -0.86119056 -0.87621266  0.24043676  0.9166667   0.16666667],0,13.653,13.407
[-0.7816988  -0.8387474  -0.8450857   0.30860755  0.9166667   0.16666667],0,13.653,13.407
[-0.75606924 -0.8481993  -0.8525213   0.3325917   0.9166667   0.16666667],0,13.653,13.407
[-0.7493443  -0.82540876 -0.8391757   0.32074362  0.9166667   0.16666667],0,13.653,13.407
[-0.78012407 -0.86630625 -0.8712444   0.29036567  0.9166667   0.16666667],0,13.653,13.407
[-0.7371546  -0.8638964  -0.8530322   0.25240636  0.9166667   0.16666667],0,13.653,13.407
[-0.7653026  -0.8528757  -0.8459436   0.34405047  0.9166667   0.16666667],0,13.653,13.407
[-0.7742682  -0.8487911  -0.861287    0.325718    0.9166667   0.16666667],0,13.653,13.407
[-0.75683856 -0.82916266 -0.83741736  0.29389128  0.9166667   0.16666667],0,13.653,13.407
[-0.78089654 -0.88261884 -0.8935065   0.24523099  0.9166667   0.16666667],0,13.653,13.407
[-0.7823255  -0.8516522  -0.8726138   0.2825318   0.9166667   0.16666667],0,13.653,13.407
[-0.7817086  -0.8543668  -0.8642962   0.31352064  0.9166667   0.16666667],0,13.653,13.407
[-0.7637555  -0.8462488  -0.8614579   0.32119146  0.9166667   0.16666667],0,13.653,13.407
[-0.25548774 -0.83531904 -0.40800568 -0.03195865  0.9166667   0.16666667],0,13.653,13.407
[-0.738495   -0.83946955 -0.87273324  0.27863163  0.9166667   0.16666667],0,13.653,13.407
[-0.78257924 -0.84590566 -0.8547742   0.32168794  0.9166667   0.16666667],0,13.653,13.407
[-0.76242256 -0.819797   -0.85277236  0.31719786  0.9166667   0.16666667],0,13.653,13.407
[-0.75102025 -0.83000666 -0.8668452   0.36852008  0.9166667   0.16666667],0,13.653,13.407
[-0.77065474 -0.87607646 -0.8877652   0.29583645  0.9166667   0.16666667],0,13.653,13.407
[-0.77784514 -0.85459876 -0.8544351   0.27559593  0.9166667   0.16666667],0,13.653,13.407
[-0.7943671  -0.8623278  -0.87522197  0.26273584  0.9166667   0.16666667],0,13.653,13.407
[-0.771183   -0.8549923  -0.85412025  0.2890672   0.9166667   0.16666667],0,13.653,13.407
[-0.77809995 -0.809172   -0.8462909   0.29691318  0.9166667   0.16666667],0,13.653,13.407
[-0.74320894 -0.841185   -0.8576393   0.31157944  0.9166667   0.16666667],0,13.653,13.407
[ 1.         -1.          1.         -1.          0.9166667   0.16666667],0,13.653,13.407
[ 0.37079877 -0.8242579  -0.41143635 -0.5960177   0.9166667   0.16666667],0,13.653,13.407
[ 1.         -1.         -0.37256944 -1.          0.9166667   0.16666667],0,13.653,13.407
[ 1.         -1.          1.         -0.17086485  0.9166667   0.16666667],0,13.653,13.407
[-0.7776663  -0.8488253  -0.84740704  0.27785996  0.9166667   0.16666667],0,13.653,13.407
[-0.7627508  -0.8353422  -0.8539705   0.32655996  0.9166667   0.16666667],0,13.653,13.407
[-0.7816491  -0.8461637  -0.90015846  0.26643923  0.9166667   0.16666667],0,13.653,13.407
[-0.780257   -0.8307282  -0.8241674   0.32895327  0.9166667   0.16666667],0,13.653,13.407
[-0.76674616 -0.83386934 -0.82049775  0.36105716  0.9166667   0.16666667],0,13.653,13.407
[-0.75880057 -0.84051853 -0.8484457   0.31819558  0.9166667   0.16666667],0,13.653,13.407
[-0.7729063  -0.86194634 -0.86457664  0.29872096  0.9166667   0.16666667],0,13.653,13.407
[-0.7740498  -0.87903017 -0.89351785  0.27286133  0.9166667   0.16666667],0,13.653,13.407
[-0.7640192  -0.81591153 -0.8438011   0.28054333  0.9166667   0.16666667],0,13.653,13.407
[-0.7611202  -0.8543272  -0.84133595  0.35672584  0.9166667   0.16666667],0,13.653,13.407
[-0.7351748  -0.8176176  -0.8240401   0.32166624  0.9166667   0.16666667],0,13.653,13.407
[-0.7611268  -0.85984004 -0.84524757  0.30994886  0.9166667   0.16666667],0,13.653,13.407
[ 1.         -1.          1.         -0.81570375  0.9166667   0.16666667],0,13.653,13.407
[-0.6480853  -0.68428206 -0.64440006  0.42482132  0.9166667   0.16666667],0,13.653,13.407
[-0.78212583 -0.8738508  -0.86656123  0.27794355  0.9166667   0.16666667],0,13.653,13.407
[-0.7610547  -0.8714463  -0.865912    0.2894842   0.9166667   0.16666667],0,13.653,13.407
[-0.75517005 -0.8038301  -0.8384366   0.33917025  0.9166667   0.16666667],0,13.653,13.407
[-0.77471083 -0.85261625 -0.8957379   0.3004636   0.9166667   0.16666667],0,13.653,13.407
[-0.73624045 -0.86365265 -0.82397413  0.3528442   0.9166667   0.16666667],0,13.653,13.407
[-0.757764   -0.8442407  -0.86712694  0.3078786   0.9166667   0.16666667],0,13.653,13.407
[-0.75583124 -0.82792276 -0.8525828   0.29698136  0.9166667   0.16666667],0,13.653,13.407
[-0.74410665 -0.8260123  -0.83286524  0.31776756  0.9166667   0.16666667],0,13.653,13.407
[-0.7786213  -0.8444704  -0.85700166  0.26656288  0.9166667   0.16666667],0,13.653,13.407
[-0.7897964  -0.8509987  -0.8432184   0.31667542  0.9166667   0.16666667],0,13.653,13.407
[-0.7570228  -0.8492261  -0.86983323  0.30984315  0.9166667   0.16666667],0,13.653,13.407
[-0.76890355 -0.8501137  -0.850776    0.33478716  0.9166667   0.16666667],0,13.653,13.407
[-0.7332649  -0.83271325 -0.8365573   0.32696164  0.9166667   0.16666667],0,13.653,13.407
[-0.7810097  -0.8545733  -0.85635865  0.31376874  0.9166667   0.16666667],0,13.653,13.407
[-0.7828852  -0.8589552  -0.81159836  0.2711145   0.9166667   0.16666667],0,13.653,13.407
[-0.7752914  -0.87140054 -0.8614687   0.30487537  0.9166667   0.16666667],0,13.653,13.407
[-0.7712566  -0.8263933  -0.8429285   0.3669514   0.9166667   0.16666667],0,13.653,13.407
[-0.7589532  -0.8315844  -0.82666963  0.28570044  0.9166667   0.16666667],0,13.653,13.407
[-0.7561432  -0.85446775 -0.8508488   0.33983564  0.9166667   0.16666667],0,13.653,13.407
[-0.77591336 -0.85473984 -0.85774064  0.28645003  0.9166667   0.16666667],0,13.653,13.407
[-0.19529241 -0.94006044 -0.28561386  0.02375781  0.9166667   0.16666667],0,13.653,13.407
[-0.76826996 -0.85178494 -0.8659619   0.24671462  0.9166667   0.16666667],0,13.653,13.407
[-0.7658154  -0.858205   -0.8592096   0.29937425  0.9166667   0.16666667],0,13.653,13.407
[-0.7499641  -0.8383408  -0.84850866  0.31427023  0.9166667   0.16666667],0,13.653,13.407
[-0.6092382  -0.7176456  -0.66418934  0.3174519   0.9166667   0.16666667],0,13.653,13.407
[-0.79974204 -0.8560556  -0.8519717   0.32549366  0.9166667   0.16666667],0,13.653,13.407
[ 0.78399307 -0.9317327  -0.37636125  0.06937432  0.9166667   0.16666667],0,13.653,13.407
[-0.7310504  -0.8559656  -0.83423024  0.29915342  0.9166667   0.16666667],0,13.653,13.407
[-0.7490846  -0.85703367 -0.85193187  0.3128742   0.9166667   0.16666667],0,13.653,13.407
[-0.73763454 -0.8201383  -0.82908434  0.2983889   0.9166667   0.16666667],0,13.653,13.407
[-0.75601524 -0.83663446 -0.89441174  0.24980092  0.9166667   0.16666667],0,13.653,13.407
[-0.7686905  -0.8522326  -0.8590859   0.33412662  0.9166667   0.16666667],0,13.653,13.407
[-0.7781482  -0.85613817 -0.85306764  0.32848418  0.9166667   0.16666667],0,13.653,13.407
[-0.7868275  -0.8441859  -0.86086047  0.26866785  0.9166667   0.16666667],0,13.653,13.407
[-0.7634796  -0.8441315  -0.84514266  0.3186786   0.9166667   0.16666667],0,13.653,13.407
[-0.7733895  -0.8657772  -0.88519394  0.26573548  0.9166667   0.16666667],0,13.653,13.407
[-0.76135933 -0.84473735 -0.85433     0.23719099  0.9166667   0.16666667],0,13.653,13.407
[-0.7472267  -0.8423519  -0.83412236  0.31937444  0.9166667   0.16666667],0,13.653,13.407
[-0.76598346 -0.8486579  -0.8544019   0.34380928  0.9166667   0.16666667],0,13.653,13.407
[-0.7442624  -0.8346046  -0.8390701   0.31957203  0.9166667   0.16666667],0,13.653,13.407
[-0.7669457  -0.8381255  -0.83737546  0.32284486  0.9166667   0.16666667],0,13.653,13.407
[-0.76081747 -0.869274   -0.86512935  0.29140478  0.9166667   0.16666667],0,13.653,13.407
[-0.7501406  -0.8789316  -0.8648542   0.31154212  0.9166667   0.16666667],0,13.653,13.407
[-0.78258044 -0.84356254 -0.8828851   0.28555086  0.9166667   0.16666667],0,13.653,13.407
[-0.72954756 -0.85925764 -0.85354114  0.22981355  0.9166667   0.16666667],0,13.653,13.407
[-0.768339   -0.83710426 -0.8263935   0.33569276  0.9166667   0.16666667],0,13.653,13.407
[-0.77291524 -0.880245   -0.89539045  0.2987617   0.9166667   0.16666667],0,13.653,13.407
[-0.4652416  -0.90907335 -0.7947801   0.24377     0.9166667   0.16666667],0,13.653,13.407
[-0.74531144 -0.8341728  -0.8630318   0.3357485   0.9166667   0.16666667],0,13.653,13.407
[-0.7736083  -0.8467453  -0.8354536   0.31740788  0.9166667   0.16666667],0,13.653,13.407
[-0.73663545 -0.85845125 -0.8704484   0.27934706  0.9166667   0.16666667],0,13.653,13.407
[-0.75945675 -0.8359949  -0.8571045   0.32194915  0.9166667   0.16666667],0,13.653,13.407
[-0.73999137 -0.8413491  -0.8423744   0.24203473  0.9166667   0.16666667],0,13.653,13.407
[-0.778873   -0.8743889  -0.88193756  0.25407705  0.9166667   0.16666667],0,13.653,13.407
[-0.67254925 -0.7514176  -0.771048    0.40716013  0.9166667   0.16666667],0,13.653,13.407
[-0.76988417 -0.8425401  -0.84116524  0.28630593  0.9166667   0.16666667],0,13.653,13.407
[-0.5519177  -0.74940145 -0.6830925   0.2623584   0.9166667   0.16666667],0,13.653,13.407
[ 1.         -1.          1.         -1.          0.9166667   0.16666667],0,13.653,13.407
[-0.7386385  -0.8488812  -0.8464853   0.30319744  0.9166667   0.16666667],0,13.653,13.407
[-0.7798226  -0.84396    -0.8638998   0.28031805  0.9166667   0.16666667],0,13.653,13.407
[-0.7722738  -0.8335411  -0.84735733  0.33845302  0.9166667   0.16666667],0,13.653,13.407
[-0.78778225 -0.8590724  -0.84633464  0.2920316   0.9166667   0.16666667],0,13.653,13.407
[1.         0.7784729  1.         0.6511859  0.9166667  0.16666667],0,13.653,13.407
[-0.7807992  -0.86101466 -0.86698616  0.33481905  0.9166667   0.16666667],0,13.653,13.407
[-0.757219   -0.8409035  -0.8475011   0.34594283  0.9166667   0.16666667],0,13.653,13.407
[-0.7726235  -0.8623907  -0.8513002   0.29378292  0.9166667   0.16666667],0,13.653,13.407
[-0.7711469  -0.86147213 -0.8793877   0.28515238  0.9166667   0.16666667],0,13.653,13.407
[-0.7652094  -0.8499364  -0.86517787  0.24994434  0.9166667   0.16666667],0,13.653,13.407
[-0.76431733 -0.8437164  -0.85376954  0.3213446   0.9166667   0.16666667],0,13.653,13.407
[-0.77448374 -0.85561615 -0.87185955  0.29297358  0.9166667   0.16666667],0,13.653,13.407
[-0.7685423  -0.8599187  -0.8642595   0.3056289   0.9166667   0.16666667],0,13.653,13.407
[-0.76257485 -0.8293026  -0.8146814   0.28721243  0.9166667   0.16666667],0,13.653,13.407
[-0.75389844 -0.80286723 -0.8233465   0.3422816   0.9166667   0.16666667],0,13.653,13.407
[-0.78065234 -0.85189474 -0.86037916  0.32689473  0.9166667   0.16666667],0,13.653,13.407
[ 0.07280192 -0.43114787  0.18758038  0.39861983  0.9166667   0.16666667],0,13.653,13.407
[-0.7669681  -0.8243082  -0.8409048   0.34151962  0.9166667   0.16666667],0,13.653,13.407
[-0.7732696  -0.81775755 -0.85856926  0.32615316  0.9166667   0.16666667],0,13.653,13.407
[-0.80420464 -0.82515347 -0.84316885  0.24389659  0.9166667   0.16666667],0,13.653,13.407
[-0.7384624  -0.8574798  -0.8415116   0.27765906  0.9166667   0.16666667],0,13.653,13.407
[-0.77115476 -0.8571821  -0.86640763  0.28867546  0.9166667   0.16666667],0,13.653,13.407
[-0.76672906 -0.8642145  -0.87369514  0.30577385  0.9166667   0.16666667],0,13.653,13.407
[-0.78323853 -0.862693   -0.8756012   0.26992184  0.9166667   0.16666667],0,13.653,13.407
[-0.7770459  -0.8540307  -0.85484046  0.31669754  0.9166667   0.16666667],0,13.653,13.407
[-0.7549202  -0.85408646 -0.850916    0.29768917  0.9166667   0.16666667],0,13.653,13.407
[1.         1.         1.         1.         0.9166667  0.16666667],0,13.653,13.407
[-0.7759504  -0.82797617 -0.8665018   0.26655442  0.9166667   0.16666667],0,13.653,13.407
[-0.75405914 -0.84041905 -0.84873855  0.24449818  0.9166667   0.16666667],0,13.653,13.407
[-0.741704   -0.83704424 -0.8455958   0.32212323  0.9166667   0.16666667],0,13.653,13.407
[-0.75667614 -0.8361158  -0.87000024  0.31176552  0.9166667   0.16666667],0,13.653,13.407
[-0.78372246 -0.8667731  -0.88220865  0.30424562  0.9166667   0.16666667],0,13.653,13.407
[-0.7300472  -0.8858039  -0.8559955   0.29471397  0.9166667   0.16666667],0,13.653,13.407
[-0.78581554 -0.8678707  -0.8739775   0.26656133  0.9166667   0.16666667],0,13.653,13.407
[-0.7444134  -0.8409183  -0.8491422   0.3002582   0.9166667   0.16666667],0,13.653,13.407
[-0.77702004 -0.8426154  -0.8621404   0.3097318   0.9166667   0.16666667],0,13.653,13.407
[-0.75476396 -0.8310481  -0.8783511   0.2593341   0.9166667   0.16666667],0,13.653,13.407
[-0.77523273 -0.8345564  -0.8308278   0.30233216  0.9166667   0.16666667],0,13.653,13.407
[-0.7575289  -0.81371486 -0.8357355   0.3473771   0.9166667   0.16666667],0,13.653,13.407
[-0.76016986 -0.8656696  -0.8684074   0.2615654   0.9166667   0.16666667],0,13.653,13.407
[-0.7418599  -0.83660007 -0.8516886   0.32157838  0.9166667   0.16666667],0,13.653,13.407
